Buoy,Vessel,Environment,Line,Winch,Link
X,X,Elevation,Effective Tension,X,Tension
Y,Y,Velocity,Wall Tension,Y,Length
Z,Z,X Velocity,Normalised Tension,Z,Velocity
Rotation 1,Rotation 1,Y Velocity,Direct Tensile Strain,Tension,Azimuth
Rotation 2,Rotation 2,Z Velocity,Max Bending Strain,Length,Declination
Rotation 3,Rotation 3,Acceleration,Worst ZZ Strain,Stretched Length,End A X
Azimuth,Sea Surface Clearance,X Acceleration,ZZ Strain,Velocity,End A Y
Declination,Velocity,Y Acceleration,Contents Density,Azimuth,End A Z
Velocity,GX-Velocity,Z Acceleration,Bend Moment,Declination,End B X
GX-Velocity,GY-Velocity,Current Speed,x-Bend Moment,Connection Force,End B Y
GY-Velocity,GZ-Velocity,Current Direction,y-Bend Moment,Connection GX-Force,End B Z
GZ-Velocity,Angular Velocity,Wind Speed,Bend Moment component,Connection GY-Force,
Angular Velocity,x-Angular Velocity,Wind Direction,In-plane Bend Moment,Connection GZ-Force,
x-Angular Velocity,y-Angular Velocity,Static Pressure,Out-of-plane Bend Moment,,
y-Angular Velocity,z-Angular Velocity,Density,Curvature,,
z-Angular Velocity,Acceleration,,Normalised Curvature,,
Acceleration,GX-Acceleration,,x-Curvature,,
GX-Acceleration,GY-Acceleration,,y-Curvature,,
GY-Acceleration,GZ-Acceleration,,Curvature component,,
GZ-Acceleration,Acceleration rel. g,,In-plane Curvature,,
Acceleration rel. g,x-Acceleration rel. g,,Out-of-plane Curvature,,
x-Acceleration rel. g,y-Acceleration rel. g,,Bend Radius,,
y-Acceleration rel. g,z-Acceleration rel. g,,x-Bend Radius,,
z-Acceleration rel. g,Angular Acceleration,,y-Bend Radius,,
Angular Acceleration,x-Angular Acceleration,,Bend Radius component,,
x-Angular Acceleration,y-Angular Acceleration,,In-plane Bend Radius,,
y-Angular Acceleration,z-Angular Acceleration,,Out-of-plane Bend Radius,,
z-Angular Acceleration,Primary X,,Shear Force,,
Dry Length,Primary Y,,x-Shear Force,,
